3734.8309 	EXP 	grating: autoDraw = True
3735.1309 	EXP 	grating: autoDraw = False
3735.7200 	EXP 	New trial (rep=62, index=0): None
3735.7311 	EXP 	fixation: autoDraw = False
3735.7311 	EXP 	grating: autoDraw = False
3735.7311 	EXP 	grating: ori = -5.0
3735.7311 	EXP 	fixation: autoDraw = True
3736.7302 	EXP 	grating: autoDraw = True
3736.7471 	EXP 	fixation: autoDraw = False
3737.0304 	EXP 	grating: autoDraw = False
3737.4688 	EXP 	New trial (rep=63, index=0): None
3737.4802 	EXP 	fixation: autoDraw = False
3737.4802 	EXP 	grating: autoDraw = False
3737.4802 	EXP 	grating: ori = 0.0
3737.4802 	EXP 	fixation: autoDraw = True
3738.4801 	EXP 	fixation: autoDraw = False
3738.4801 	EXP 	grating: autoDraw = True
3738.7800 	EXP 	grating: autoDraw = False
3739.1535 	EXP 	New trial (rep=64, index=0): None
3739.1644 	EXP 	fixation: autoDraw = False
3739.1644 	EXP 	grating: autoDraw = False
3739.1644 	EXP 	grating: ori = -3.0
3739.1644 	EXP 	fixation: autoDraw = True
3740.1631 	EXP 	grating: autoDraw = True
3740.1798 	EXP 	fixation: autoDraw = False
3740.4627 	EXP 	grating: autoDraw = False
3740.8190 	EXP 	New trial (rep=65, index=0): None
3740.8309 	EXP 	fixation: autoDraw = False
3740.8309 	EXP 	grating: autoDraw = False
3740.8309 	EXP 	grating: ori = 0.0
3740.8309 	EXP 	fixation: autoDraw = True
3741.8291 	EXP 	grating: autoDraw = True
3741.8459 	EXP 	fixation: autoDraw = False
3742.1292 	EXP 	grating: autoDraw = False
3742.5356 	EXP 	New trial (rep=66, index=0): None
3742.5465 	EXP 	fixation: autoDraw = False
3742.5465 	EXP 	grating: autoDraw = False
3742.5465 	EXP 	grating: ori = -2.0
